Labels,180min,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,3.10235469E+4,
471.00,3.49580820E+4,
472.00,3.98491875E+4,
473.00,4.57795273E+4,
474.00,5.23959961E+4,
475.00,5.90515547E+4,
476.00,6.78891094E+4,
477.00,7.58592188E+4,
478.00,8.49495625E+4,
479.00,9.56045156E+4,
480.00,1.06252336E+5,
481.00,1.17243859E+5,
482.00,1.29908766E+5,
483.00,1.42640484E+5,
484.00,1.55404719E+5,
485.00,1.68245672E+5,
486.00,1.81235063E+5,
487.00,1.94124313E+5,
488.00,2.06911844E+5,
489.00,2.20692922E+5,
490.00,2.35830078E+5,
491.00,2.47303047E+5,
492.00,2.59523797E+5,
493.00,2.71142156E+5,
494.00,2.83084375E+5,
495.00,2.93377563E+5,
496.00,3.01166594E+5,
497.00,3.10649844E+5,
498.00,3.20300188E+5,
499.00,3.29327500E+5,
500.00,3.38285625E+5,
501.00,3.44020250E+5,
502.00,3.51281156E+5,
503.00,3.58839094E+5,
504.00,3.65081063E+5,
505.00,3.70251031E+5,
506.00,3.74435656E+5,
507.00,3.78590719E+5,
508.00,3.83321875E+5,
509.00,3.87602375E+5,
510.00,3.91317625E+5,
511.00,3.92473344E+5,
512.00,3.95492594E+5,
513.00,3.96761063E+5,
514.00,3.98177625E+5,
515.00,4.00302469E+5,
516.00,4.01971031E+5,
517.00,4.02009469E+5,
518.00,4.01784906E+5,
519.00,4.01961125E+5,
520.00,4.01756031E+5,
521.00,4.01129406E+5,
522.00,4.01550688E+5,
523.00,4.00734688E+5,
524.00,4.00406219E+5,
525.00,3.99490156E+5,
526.00,4.00180313E+5,
527.00,3.96195344E+5,
528.00,3.92579875E+5,
529.00,3.90365656E+5,
530.00,3.87519000E+5,
531.00,3.83394813E+5,
532.00,3.79534688E+5,
533.00,3.77873719E+5,
534.00,3.74767625E+5,
535.00,3.70396281E+5,
536.00,3.67484719E+5,
537.00,3.62440656E+5,
538.00,3.58427375E+5,
539.00,3.55645469E+5,
540.00,3.50214813E+5,
541.00,3.45718406E+5,
542.00,3.39839594E+5,
543.00,3.34826281E+5,
544.00,3.30916000E+5,
545.00,3.25803063E+5,
546.00,3.21885406E+5,
547.00,3.15271344E+5,
548.00,3.10236000E+5,
549.00,3.05736656E+5,
550.00,3.00973656E+5,
551.00,2.95908313E+5,
552.00,2.89391094E+5,
553.00,2.86080625E+5,
554.00,2.80683469E+5,
555.00,2.75949094E+5,
556.00,2.70461000E+5,
557.00,2.67581281E+5,
558.00,2.64908688E+5,
559.00,2.58675688E+5,
560.00,2.52752172E+5,
561.00,2.46066969E+5,
562.00,2.41358484E+5,
563.00,2.35996672E+5,
564.00,2.31178359E+5,
565.00,2.26119688E+5,
566.00,2.21653016E+5,
567.00,2.16416953E+5,
568.00,2.12275281E+5,
569.00,2.08138688E+5,
570.00,2.02469219E+5,
571.00,1.98326031E+5,
572.00,1.94087719E+5,
573.00,1.89230609E+5,
574.00,1.85103781E+5,
575.00,1.80920359E+5,
576.00,1.78530875E+5,
577.00,1.73394750E+5,
578.00,1.68860328E+5,
579.00,1.65939375E+5,
580.00,1.60342078E+5,
581.00,1.57177688E+5,
582.00,1.53771031E+5,
583.00,1.50823047E+5,
584.00,1.45729328E+5,
585.00,1.43517828E+5,
586.00,1.39018703E+5,
587.00,1.36313875E+5,
588.00,1.33284906E+5,
589.00,1.29962172E+5,
590.00,1.27625625E+5,
591.00,1.22829883E+5,
592.00,1.20126781E+5,
593.00,1.17538695E+5,
594.00,1.14802203E+5,
595.00,1.12102266E+5,
596.00,1.09416977E+5,
597.00,1.07024656E+5,
598.00,1.03374563E+5,
599.00,1.00905258E+5,
600.00,9.83354453E+4,
601.00,9.61598906E+4,
602.00,9.31532188E+4,
603.00,9.12124297E+4,
604.00,8.79996875E+4,
605.00,8.67796563E+4,
606.00,8.37550078E+4,
607.00,8.12740391E+4,
608.00,7.90672109E+4,
609.00,7.74382422E+4,
610.00,7.49634375E+4,
611.00,7.30939453E+4,
612.00,7.17241016E+4,
613.00,6.97370469E+4,
614.00,6.72358125E+4,
615.00,6.49648906E+4,
616.00,6.43117422E+4,
617.00,6.25568555E+4,
618.00,6.11500039E+4,
619.00,5.93971328E+4,
620.00,5.76924688E+4,
621.00,5.70055469E+4,
622.00,5.47000000E+4,
623.00,5.29935508E+4,
624.00,5.14410195E+4,
625.00,5.04447070E+4,
626.00,4.79260000E+4,
627.00,4.76180977E+4,
628.00,4.58525313E+4,
629.00,4.44347344E+4,
630.00,4.38067539E+4,
631.00,4.23657383E+4,
632.00,4.13335781E+4,
633.00,4.05338711E+4,
634.00,3.89494063E+4,
635.00,3.81585586E+4,
636.00,3.70346172E+4,
637.00,3.66381992E+4,
638.00,3.47745820E+4,
639.00,3.36587813E+4,
640.00,3.32035430E+4,
641.00,3.24645898E+4,
642.00,3.18825957E+4,
643.00,3.06050410E+4,
644.00,3.00071992E+4,
645.00,2.91063145E+4,
646.00,2.79365059E+4,
647.00,2.75820898E+4,
648.00,2.66916758E+4,
649.00,2.61989473E+4,
650.00,2.51897324E+4,
651.00,2.46552324E+4,
652.00,2.40548945E+4,
653.00,2.31296797E+4,
654.00,2.23625527E+4,
655.00,2.20319785E+4,
656.00,2.17191465E+4,
657.00,2.11790293E+4,
658.00,2.06745273E+4,
659.00,2.16528457E+4,
660.00,2.32806406E+4,
661.00,2.26575820E+4,
662.00,2.07786270E+4,
663.00,1.93061484E+4,
664.00,1.75534766E+4,
665.00,1.72289395E+4,
666.00,1.67334609E+4,
667.00,1.61416670E+4,
668.00,1.53451221E+4,
669.00,1.48267490E+4,
670.00,1.45719443E+4,
671.00,1.42654404E+4,
672.00,1.38909502E+4,
673.00,1.36413936E+4,
674.00,1.38222539E+4,
675.00,1.29787188E+4,
676.00,1.31189541E+4,
677.00,1.28626250E+4,
678.00,1.19889004E+4,
679.00,1.18633525E+4,
680.00,1.03113506E+4,
681.00,1.00068311E+4,
682.00,9.61273438E+3,
683.00,9.42675098E+3,
684.00,9.22406445E+3,
685.00,8.85052734E+3,
686.00,8.67828418E+3,
687.00,8.54807129E+3,
688.00,8.07471680E+3,
689.00,8.10582227E+3,
690.00,8.16250195E+3,
691.00,7.60241553E+3,
692.00,7.71986768E+3,
693.00,7.34972168E+3,
694.00,7.56807861E+3,
695.00,6.94244873E+3,
696.00,6.83748828E+3,
697.00,6.86748096E+3,
698.00,6.52272559E+3,
699.00,5.93901367E+3,
700.00,6.27535742E+3,
